location_id,location_name,province,season,season_type,crop_type,lat,lon,ndvi,evi,ndwi,ndre,lai,bsi,ndvi_std,ndvi_min,ndvi_max,temp_celsius,rainfall_mm,soil_moisture,crop_stress_label
PB19,DG Khan,Punjab,Rabi_2016,rabi,wheat,30.0496,70.6358,0.2058,0.1234,-0.3027,0.2022,1.029,0.1212,0.0309,0.1749,0.2367,18.4,105.8,20.6,Stressed
PB20,Gujrat,Punjab,Rabi_2016,rabi,rice,32.5736,74.0789,0.1253,0.0799,-0.1779,0.1339,0.627,0.0919,0.0206,0.1023,0.1505,21.2,153.1,22.4,Diseased
PB23,Khanewal,Punjab,Rabi_2016,rabi,wheat,30.3014,71.9322,0.2113,0.1456,-0.2555,0.2112,1.056,0.0516,0.0272,0.1859,0.2495,17.5,123.3,21.2,Healthy
PB22,Kasur,Punjab,Rabi_2016,rabi,rice,31.1181,74.4503,0.1284,0.0821,-0.2116,0.1346,0.642,0.1321,0.0242,0.1003,0.1694,18.6,159.7,21.9,Diseased
PB21,Hafizabad,Punjab,Rabi_2016,rabi,rice,32.0708,73.6886,0.1567,0.0887,-0.2195,0.1523,0.783,0.0792,0.05,0.1567,0.1567,21.7,111.8,21.8,Stressed
PB25,Layyah,Punjab,Rabi_2016,rabi,cotton,30.9617,70.9439,0.146,0.1021,-0.2165,0.1385,0.73,0.0914,0.0172,0.1288,0.1631,17.7,95.3,21.8,Diseased
PB24,Khushab,Punjab,Rabi_2016,rabi,wheat,32.2989,72.3522,0.1868,0.1146,-0.2618,0.1784,0.934,0.0887,0.05,0.1868,0.1868,19.8,127.9,21.2,Stressed
PB26,Lodhran,Punjab,Rabi_2016,rabi,wheat,29.5333,71.6333,0.2174,0.1457,-0.2892,0.2116,1.087,0.0911,0.0326,0.1848,0.25,18.2,92.7,20.8,Healthy
PB27,Mandi Bahauddin,Punjab,Rabi_2016,rabi,sugarcane,32.5864,73.4917,0.1924,0.1046,-0.2622,0.1897,0.962,0.0894,0.05,0.1924,0.1924,20.7,122.3,21.1,Stressed
PB30,Narowal,Punjab,Rabi_2016,rabi,rice,32.1003,74.8753,0.2055,0.1333,-0.2788,0.2129,1.027,0.1015,0.0204,0.1851,0.2259,20.9,111.9,20.9,Healthy
PB28,Mianwali,Punjab,Rabi_2016,rabi,wheat,32.5853,71.5436,0.2671,0.1637,-0.3309,0.2688,1.336,0.0776,0.0317,0.2263,0.3076,20.1,73.1,20.1,Healthy
PB29,Muzaffargarh,Punjab,Rabi_2016,rabi,cotton,30.0736,71.1925,0.1599,0.1044,-0.2452,0.157,0.8,0.1012,0.0194,0.1378,0.1876,17.2,94.9,21.4,Stressed
PB31,Toba Tek Singh,Punjab,Rabi_2016,rabi,sugarcane,30.9667,72.4833,0.2815,0.1803,-0.3289,0.2732,1.407,0.028,0.05,0.2815,0.2815,21.7,125.2,20.2,Healthy
PB34,Bhakkar,Punjab,Rabi_2016,rabi,wheat,31.6267,71.0617,0.1425,0.101,-0.2133,0.1354,0.712,0.0801,0.0306,0.0961,0.1675,18.8,92.9,21.9,Diseased
PB32,Vehari,Punjab,Rabi_2016,rabi,cotton,30.0442,72.3514,0.1913,0.1214,-0.2642,0.1866,0.956,0.1015,0.05,0.1913,0.1913,19.9,63.0,21.1,Stressed
PB33,Jhelum,Punjab,Rabi_2016,rabi,wheat,32.9425,73.7258,0.2587,0.1551,-0.2918,0.2683,1.294,0.0346,0.05,0.2587,0.2587,18.2,120.1,20.7,Healthy
SD01,Karachi,Sindh,Rabi_2016,rabi,cotton,24.8607,67.0011,0.0807,0.0562,-0.1674,0.0864,0.403,0.1319,0.0195,0.0518,0.1168,20.3,109.7,22.5,Diseased
SD02,Hyderabad,Sindh,Rabi_2016,rabi,wheat,25.396,68.3578,0.2064,0.147,-0.2739,0.1982,1.032,0.0954,0.036,0.1636,0.2638,21.4,144.4,21.0,Healthy
SD03,Sukkur,Sindh,Rabi_2016,rabi,wheat,27.7052,68.857,0.1404,0.1012,-0.2421,0.1468,0.702,0.1315,0.0218,0.114,0.1693,20.2,118.7,21.4,Diseased
SD05,Nawabshah,Sindh,Rabi_2016,rabi,sugarcane,26.2442,68.4099,0.1257,0.091,-0.2213,0.131,0.628,0.1304,0.0188,0.1037,0.1503,20.7,145.5,21.7,Diseased
SD04,Larkana,Sindh,Rabi_2016,rabi,rice,27.557,68.2138,0.1139,0.087,-0.1994,0.1211,0.57,0.1227,0.0213,0.0865,0.1417,19.9,136.6,22.1,Diseased
SD07,Khairpur,Sindh,Rabi_2016,rabi,sugarcane,27.5297,68.7592,0.1736,0.1213,-0.2544,0.1784,0.868,0.1003,0.0389,0.1098,0.2088,18.8,100.0,21.3,Stressed
SD06,Mirpurkhas,Sindh,Rabi_2016,rabi,rice,25.5281,69.0092,0.1918,0.1235,-0.2846,0.1909,0.959,0.1093,0.0298,0.149,0.2372,19.1,152.1,20.8,Stressed
SD09,Badin,Sindh,Rabi_2016,rabi,rice,24.6556,68.8383,0.1971,0.1226,-0.2953,0.1939,0.986,0.1199,0.0328,0.1545,0.2435,18.0,110.5,20.7,Stressed
SD08,Jacobabad,Sindh,Rabi_2016,rabi,wheat,28.2769,68.4514,0.1312,0.0982,-0.2281,0.134,0.656,0.1319,0.0162,0.1088,0.1528,17.0,106.8,21.6,Diseased
SD10,Dadu,Sindh,Rabi_2016,rabi,wheat,26.7317,67.7753,0.1497,0.1068,-0.2446,0.1472,0.749,0.1171,0.0217,0.119,0.1781,17.1,144.8,21.4,Stressed
SD12,Kamber,Sindh,Rabi_2016,rabi,wheat,27.5861,68.0017,0.1221,0.0908,-0.2111,0.1184,0.61,0.1255,0.0289,0.0882,0.1732,17.9,128.4,21.9,Diseased
SD11,Ghotki,Sindh,Rabi_2016,rabi,cotton,28.0033,69.3161,0.153,0.1065,-0.2362,0.1565,0.765,0.1028,0.0238,0.123,0.1871,20.7,86.0,21.5,Stressed
SD13,Kashmore,Sindh,Rabi_2016,rabi,wheat,28.4475,69.5675,0.4872,0.3224,-0.4842,0.4845,2.436,-0.1117,0.1101,0.3,0.5726,18.3,131.4,17.9,Healthy
SD14,Matiari,Sindh,Rabi_2016,rabi,sugarcane,25.5975,68.4608,0.4105,0.2546,-0.4357,0.4141,2.053,-0.0088,0.1331,0.2387,0.5858,19.9,122.0,18.6,Healthy
SD15,Naushahro Feroze,Sindh,Rabi_2016,rabi,sugarcane,26.8414,68.1175,0.2694,0.2012,-0.3257,0.2769,1.347,0.0437,0.0684,0.1512,0.326,21.0,121.4,20.2,Healthy
SD16,Sanghar,Sindh,Rabi_2016,rabi,cotton,26.0464,68.9486,0.1871,0.1247,-0.2769,0.1892,0.935,0.1097,0.0384,0.1324,0.2343,17.9,137.4,20.9,Stressed
SD17,Shikarpur,Sindh,Rabi_2016,rabi,wheat,27.9569,68.6381,0.1177,0.0837,-0.215,0.1172,0.589,0.1396,0.0164,0.0957,0.1417,15.5,119.4,21.8,Diseased
SD20,Umerkot,Sindh,Rabi_2016,rabi,wheat,25.3619,69.7358,0.1973,0.138,-0.2947,0.1981,0.987,0.1129,0.03,0.1567,0.2467,18.9,128.5,20.7,Stressed
SD19,Thatta,Sindh,Rabi_2016,rabi,cotton,24.7461,67.9239,0.1783,0.1151,-0.2812,0.1736,0.892,0.1312,0.0197,0.1544,0.2005,21.1,104.9,20.9,Stressed
BL01,Quetta,Balochistan,Rabi_2016,rabi,wheat,30.1798,66.975,0.0867,0.0699,-0.1707,0.0899,0.433,0.1313,0.0164,0.0693,0.1079,19.3,133.5,22.5,Diseased
BL03,Khuzdar,Balochistan,Rabi_2016,rabi,mango,27.8,66.6167,0.1657,0.138,-0.2433,0.1679,0.829,0.1006,0.0422,0.1261,0.2232,19.7,127.2,21.4,Stressed
BL02,Turbat,Balochistan,Rabi_2016,rabi,wheat,26.0021,63.0621,0.1361,0.1075,-0.1999,0.1436,0.681,0.118,0.0186,0.1119,0.1568,18.9,93.8,22.1,Diseased
SD18,Tando Allahyar,Sindh,Rabi_2016,rabi,rice,25.4661,68.7178,0.1916,0.1265,-0.2758,0.1961,0.958,0.1009,0.0439,0.1335,0.2507,16.5,103.7,20.9,Stressed
BL05,Zhob,Balochistan,Rabi_2016,rabi,wheat,31.3417,69.4486,0.1311,0.0852,-0.2261,0.1311,0.656,0.1462,0.0259,0.1064,0.1728,18.8,106.4,21.7,Diseased
BL04,Loralai,Balochistan,Rabi_2016,rabi,wheat,30.3724,68.5989,0.1036,0.0881,-0.1955,0.1049,0.518,0.1414,0.0209,0.0851,0.1447,18.2,79.3,22.1,Diseased
BL08,Pishin,Balochistan,Rabi_2016,rabi,wheat,30.5817,66.9956,0.1204,0.0984,-0.2193,0.1235,0.602,0.1429,0.0456,0.0921,0.1937,17.4,107.6,21.8,Diseased
BL06,Mastung,Balochistan,Rabi_2016,rabi,mango,29.797,66.846,0.1325,0.1158,-0.2237,0.1379,0.663,0.1272,0.0364,0.0958,0.17,20.2,108.2,21.7,Diseased
BL07,Sibi,Balochistan,Rabi_2016,rabi,cotton,29.5432,67.8772,0.2353,0.1709,-0.3232,0.2285,1.177,0.0894,0.0255,0.1997,0.2592,18.8,157.1,20.3,Healthy
BL09,Kalat,Balochistan,Rabi_2016,rabi,wheat,29.0228,66.5906,0.1609,0.1349,-0.25,0.1692,0.805,0.1233,0.0402,0.1207,0.2011,19.1,105.4,21.3,Stressed
BL10,Gwadar,Balochistan,Rabi_2016,rabi,mango,25.1264,62.3255,-0.0974,-0.0007,0.1918,-0.1223,-0.487,-0.0047,0.0879,-0.2285,0.0425,18.8,79.3,27.8,Diseased
BL11,Chagai,Balochistan,Rabi_2016,rabi,wheat,29.1089,64.7983,0.0585,0.0481,-0.1679,0.046,0.293,0.1663,0.05,0.0585,0.0585,21.2,108.4,22.5,Diseased
BL12,Dera Bugti,Balochistan,Rabi_2016,rabi,wheat,29.0367,69.1583,0.209,0.1629,-0.3222,0.2131,1.045,0.1368,0.0274,0.17,0.2456,19.6,108.5,20.3,Healthy
BL13,Jaffarabad,Balochistan,Rabi_2016,rabi,cotton,28.8958,68.2706,0.0908,0.0779,-0.2311,0.0811,0.454,0.178,0.0165,0.0641,0.1148,18.4,98.5,21.6,Diseased
BL14,Jhal Magsi,Balochistan,Rabi_2016,rabi,wheat,28.2833,67.7333,0.2713,0.1788,-0.3439,0.2717,1.357,0.0745,0.1494,0.1219,0.4207,17.9,112.9,20.0,Healthy
BL16,Lasbela,Balochistan,Rabi_2016,rabi,mango,26.215,66.6933,0.0829,0.0582,-0.1689,0.0797,0.415,0.1862,0.0125,0.0705,0.0954,21.7,139.0,22.5,Diseased
BL15,Kharan,Balochistan,Rabi_2016,rabi,wheat,28.5833,65.4167,0.0781,0.0701,-0.1664,0.0783,0.391,0.146,0.0067,0.0714,0.0849,19.7,126.2,22.5,Diseased
BL17,Musakhel,Balochistan,Rabi_2016,rabi,wheat,30.6983,69.8361,0.1337,0.079,-0.2314,0.1379,0.669,0.2339,0.0256,0.1055,0.177,17.5,138.6,21.6,Diseased
BL19,Nushki,Balochistan,Rabi_2016,rabi,wheat,29.5533,66.0211,0.0726,0.0635,-0.1571,0.0729,0.363,0.1416,0.0155,0.0526,0.0959,17.2,130.8,22.7,Diseased
BL18,Nasirabad,Balochistan,Rabi_2016,rabi,cotton,28.4167,68.3833,0.3119,0.2177,-0.3872,0.319,1.56,0.0835,0.145,0.1511,0.5367,18.9,123.1,19.3,Healthy
BL21,Washuk,Balochistan,Rabi_2016,rabi,wheat,27.5,64.0,0.0394,0.0288,-0.1281,0.0377,0.197,0.2396,0.005,0.0349,0.0466,18.5,109.8,23.1,Diseased
BL20,Panjgur,Balochistan,Rabi_2016,rabi,wheat,26.9686,64.0994,0.0821,0.0667,-0.1652,0.0875,0.41,0.1558,0.0104,0.068,0.094,17.7,107.8,22.6,Diseased
KP01,Peshawar,KPK,Rabi_2016,rabi,wheat,34.015,71.5249,0.2786,0.1749,-0.3429,0.2849,1.393,0.0412,0.0376,0.24,0.3278,17.3,107.5,20.0,Healthy
KP02,Mardan,KPK,Rabi_2016,rabi,sugarcane,34.1986,72.0404,0.2092,0.1243,-0.2426,0.2121,1.046,0.0516,0.0342,0.1639,0.2594,20.4,99.6,21.4,Healthy
BL22,Ziarat,Balochistan,Rabi_2016,rabi,mango,30.3819,67.7244,0.1771,0.1335,-0.2584,0.1848,0.886,0.1211,0.0491,0.1227,0.2372,20.3,118.8,21.2,Stressed
KP03,Swat,KPK,Rabi_2016,rabi,rice,35.2227,72.4258,0.1089,0.1254,-0.0426,0.1094,0.545,-0.3433,0.0964,0.0489,0.2971,20.2,154.5,24.3,Diseased
KP04,Charsadda,KPK,Rabi_2016,rabi,wheat,34.145,71.7305,0.2589,0.1525,-0.2985,0.2621,1.295,0.0634,0.0347,0.2235,0.3046,23.2,114.7,20.6,Healthy
KP05,Nowshera,KPK,Rabi_2016,rabi,sugarcane,34.0153,71.9747,0.1784,0.1079,-0.2172,0.1696,0.892,0.046,0.0445,0.1242,0.2444,20.2,105.0,21.8,Stressed
KP07,Dera Ismail Khan,KPK,Rabi_2016,rabi,wheat,31.8319,70.9018,0.0947,0.0693,-0.1684,0.0948,0.474,0.1208,0.0125,0.0822,0.1115,20.1,134.7,22.5,Diseased
KP08,Bannu,KPK,Rabi_2016,rabi,wheat,32.9892,70.6017,0.2039,0.1229,-0.286,0.2068,1.019,0.1153,0.0154,0.1884,0.2193,19.3,149.8,20.8,Stressed
KP11,Chitral,KPK,Rabi_2016,rabi,mango,35.8511,71.7864,0.1157,0.06,-0.1505,0.112,0.579,0.0585,0.028,0.0877,0.1438,19.3,135.7,22.8,Diseased
KP09,Battagram,KPK,Rabi_2016,rabi,rice,34.6825,73.0253,0.2656,0.1381,-0.3496,0.2739,1.328,0.1488,0.0375,0.2387,0.3254,16.8,129.9,19.9,Healthy
KP10,Buner,KPK,Rabi_2016,rabi,wheat,34.5133,72.5006,0.4732,0.2342,-0.4688,0.4798,2.366,-0.0414,0.0605,0.4126,0.5337,18.4,112.8,18.1,Healthy
KP12,Dir Lower,KPK,Rabi_2016,rabi,rice,34.7397,71.9006,0.4212,0.197,-0.4645,0.4302,2.106,0.0461,0.0208,0.4004,0.4419,19.0,94.7,18.2,Healthy
KP13,Hangu,KPK,Rabi_2016,rabi,wheat,33.5308,71.0586,0.3578,0.2169,-0.3972,0.3698,1.789,0.0599,0.0668,0.2911,0.4246,19.3,96.6,19.2,Healthy
KP15,Karak,KPK,Rabi_2016,rabi,wheat,33.1169,71.0944,0.2125,0.132,-0.3159,0.2124,1.063,0.1227,0.0177,0.1949,0.2302,17.2,178.1,20.4,Healthy
KP16,Kohat,KPK,Rabi_2016,rabi,wheat,33.5869,71.4414,0.2675,0.1592,-0.3431,0.2755,1.338,0.0902,0.0283,0.2355,0.3019,19.3,95.4,20.0,Healthy
KP17,Lakki Marwat,KPK,Rabi_2016,rabi,wheat,32.6072,70.9122,0.2145,0.1368,-0.294,0.2162,1.072,0.107,0.019,0.1955,0.2335,19.8,99.3,20.7,Healthy
KP18,Malakand,KPK,Rabi_2016,rabi,rice,34.5653,71.9306,0.4741,0.2019,-0.497,0.4819,2.37,-0.0085,0.0239,0.4478,0.5003,19.4,94.5,17.7,Healthy
KP19,Mansehra,KPK,Rabi_2016,rabi,wheat,34.3297,73.2003,0.1809,0.1002,-0.2555,0.1909,0.905,0.1232,0.0299,0.1529,0.2225,17.3,134.8,21.2,Stressed
KP21,Swabi,KPK,Rabi_2016,rabi,sugarcane,34.12,72.47,0.2872,0.166,-0.3086,0.2905,1.436,0.008,0.061,0.2348,0.3786,20.0,101.4,20.5,Healthy
KP20,Shangla,KPK,Rabi_2016,rabi,rice,34.9167,72.8333,0.5448,0.1803,-0.6101,0.5587,2.724,0.0511,0.068,0.4487,0.6174,18.9,81.1,16.1,Healthy
KP23,Tor Ghar,KPK,Rabi_2016,rabi,rice,34.7167,73.0833,0.4227,0.2107,-0.5009,0.4398,2.114,0.1045,0.0433,0.3935,0.4937,19.1,142.2,17.7,Healthy
KP22,Tank,KPK,Rabi_2016,rabi,wheat,32.2167,70.3833,0.2609,0.1653,-0.3498,0.2593,1.304,0.1109,0.0234,0.2377,0.2855,20.9,97.3,19.9,Healthy
PB05,Rawalpindi,Punjab,Kharif_2016,kharif,wheat,33.5651,73.0169,0.1891,0.1254,-0.2684,0.2104,0.946,0.1265,0.0539,0.1418,0.2794,30.0,215.1,21.1,Stressed
PB07,Bahawalpur,Punjab,Kharif_2016,kharif,cotton,29.3956,71.6836,0.2006,0.1518,-0.2668,0.2241,1.003,0.0946,0.0315,0.1606,0.2542,32.7,342.4,21.1,Healthy
PB08,Sargodha,Punjab,Kharif_2016,kharif,wheat,32.0836,72.6711,0.1806,0.119,-0.2595,0.2055,0.903,0.1065,0.0379,0.1202,0.2528,30.1,233.4,21.2,Stressed
PB04,Gujranwala,Punjab,Kharif_2016,kharif,rice,32.1877,74.1945,0.1602,0.1039,-0.2394,0.1832,0.801,0.1149,0.0524,0.0513,0.2367,30.8,338.7,21.5,Stressed
PB01,Lahore,Punjab,Kharif_2016,kharif,wheat,31.5204,74.3587,0.2674,0.1638,-0.3069,0.301,1.337,0.0821,0.0712,0.1745,0.379,30.3,238.3,20.5,Healthy
PB03,Multan,Punjab,Kharif_2016,kharif,wheat,30.1978,71.4711,0.1021,0.0737,-0.2041,0.122,0.511,0.1423,0.0203,0.0743,0.1376,30.4,291.8,22.0,Diseased
PB06,Sialkot,Punjab,Kharif_2016,kharif,rice,32.4945,74.5229,0.1446,0.0933,-0.2206,0.1698,0.723,0.1181,0.0403,0.0575,0.2137,27.1,329.7,21.8,Stressed
PB02,Faisalabad,Punjab,Kharif_2016,kharif,cotton,31.4187,73.0791,0.1497,0.0961,-0.2159,0.1757,0.749,0.1004,0.0495,0.0465,0.2316,30.1,242.2,21.8,Stressed
PB10,Rahim Yar Khan,Punjab,Kharif_2016,kharif,cotton,28.4202,70.2952,0.1665,0.1131,-0.2558,0.1846,0.833,0.1163,0.0314,0.1137,0.2114,29.5,387.5,21.2,Stressed
PB11,Jhang,Punjab,Kharif_2016,kharif,wheat,31.2681,72.3181,0.1647,0.1102,-0.2533,0.1868,0.823,0.1163,0.024,0.1327,0.2029,31.1,229.0,21.3,Stressed
PB09,Sahiwal,Punjab,Kharif_2016,kharif,sugarcane,30.6706,73.1064,0.2645,0.1755,-0.3275,0.2884,1.322,0.0694,0.0545,0.1918,0.3743,31.9,216.6,20.2,Healthy
PB13,Okara,Punjab,Kharif_2016,kharif,wheat,30.8107,73.4597,0.1222,0.0879,-0.2149,0.1453,0.611,0.1392,0.0341,0.0483,0.1768,33.1,271.2,21.8,Diseased
PB16,Bahawalnagar,Punjab,Kharif_2016,kharif,cotton,29.9958,73.2531,0.1527,0.1129,-0.2314,0.1717,0.763,0.1164,0.037,0.0923,0.2172,27.2,321.0,21.6,Stressed
PB12,Sheikhupura,Punjab,Kharif_2016,kharif,rice,31.7167,73.985,0.1837,0.1172,-0.2603,0.2064,0.918,0.1086,0.0588,0.0132,0.2944,30.7,304.1,21.2,Stressed
PB15,Attock,Punjab,Kharif_2016,kharif,wheat,33.7667,72.3667,0.2482,0.1696,-0.3215,0.2777,1.241,0.1089,0.065,0.1748,0.4,31.2,368.6,20.3,Healthy
PB14,Pakpattan,Punjab,Kharif_2016,kharif,cotton,30.3436,73.3873,0.1321,0.1003,-0.2122,0.1531,0.661,0.1217,0.0408,0.0462,0.2016,31.2,243.3,21.9,Diseased
PB17,Chakwal,Punjab,Kharif_2016,kharif,wheat,32.9328,72.8553,0.1736,0.1173,-0.2557,0.192,0.868,0.1314,0.0296,0.1301,0.2144,29.2,241.3,21.2,Stressed
PB18,Chiniot,Punjab,Kharif_2016,kharif,sugarcane,31.7192,72.9783,0.1408,0.0941,-0.2284,0.1688,0.704,0.1171,0.0321,0.0847,0.1992,31.1,306.9,21.6,Diseased
PB19,DG Khan,Punjab,Kharif_2016,kharif,wheat,30.0496,70.6358,0.2008,0.1308,-0.2821,0.2269,1.004,0.1179,0.0402,0.1337,0.25,29.0,288.8,20.9,Healthy
PB20,Gujrat,Punjab,Kharif_2016,kharif,rice,32.5736,74.0789,0.1231,0.0818,-0.1933,0.1445,0.615,0.116,0.0227,0.0886,0.158,28.0,321.3,22.1,Diseased
PB21,Hafizabad,Punjab,Kharif_2016,kharif,rice,32.0708,73.6886,0.1471,0.0958,-0.2377,0.1698,0.736,0.1256,0.0492,0.065,0.214,32.5,344.7,21.5,Stressed
PB22,Kasur,Punjab,Kharif_2016,kharif,rice,31.1181,74.4503,0.1226,0.0829,-0.209,0.1507,0.613,0.1471,0.0374,0.0872,0.2056,28.6,299.5,21.9,Diseased
PB23,Khanewal,Punjab,Kharif_2016,kharif,wheat,30.3014,71.9322,0.2583,0.1784,-0.3321,0.2809,1.291,0.0857,0.0593,0.167,0.3621,30.3,272.4,20.1,Healthy
PB24,Khushab,Punjab,Kharif_2016,kharif,wheat,32.2989,72.3522,0.1623,0.114,-0.2509,0.1863,0.811,0.1178,0.0389,0.1149,0.2302,28.7,297.8,21.3,Stressed
PB25,Layyah,Punjab,Kharif_2016,kharif,cotton,30.9617,70.9439,0.1439,0.1023,-0.2173,0.1792,0.719,0.1238,0.0368,0.0825,0.1859,29.2,259.3,21.8,Stressed
PB26,Lodhran,Punjab,Kharif_2016,kharif,wheat,29.5333,71.6333,0.1696,0.1317,-0.2454,0.1857,0.848,0.1093,0.0417,0.1099,0.2346,32.0,349.6,21.4,Stressed
PB27,Mandi Bahauddin,Punjab,Kharif_2016,kharif,sugarcane,32.5864,73.4917,0.1794,0.1149,-0.2522,0.1989,0.897,0.1063,0.0423,0.1272,0.2483,28.9,297.6,21.3,Stressed
PB28,Mianwali,Punjab,Kharif_2016,kharif,wheat,32.5853,71.5436,0.2665,0.1695,-0.3462,0.2928,1.333,0.1093,0.0741,0.1375,0.4197,32.8,220.9,19.9,Healthy
PB31,Toba Tek Singh,Punjab,Kharif_2016,kharif,sugarcane,30.9667,72.4833,0.2487,0.1618,-0.3286,0.2636,1.243,0.0886,0.0681,0.1529,0.343,28.8,229.5,20.2,Healthy
PB30,Narowal,Punjab,Kharif_2016,kharif,rice,32.1003,74.8753,0.1763,0.1254,-0.2494,0.194,0.882,0.1089,0.0686,0.1248,0.3072,30.2,267.8,21.3,Stressed
